id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
3752904,(2016 JP15),21.16,0.1557955241,0.3483693825,False,2026-03-06,14.6705800915,59807161.821184672,2026-02-28T19:06:11.552584
3759721,(2016 SX1),28.6,0.0050647146,0.0113250461,False,2026-03-06,6.8562200572,35894384.886983067,2026-02-28T19:06:11.552586
3768609,(2017 BM123),23.81,0.0459785188,0.1028110936,False,2026-03-06,7.1562732689,7608584.678713038,2026-02-28T19:06:11.552588
3770324,(2017 EG),24.0,0.0421264611,0.0941976306,False,2026-03-06,12.4617973807,39963720.685165593,2026-02-28T19:06:11.552590
3788891,(2017 UA45),26.1,0.0160160338,0.0358129403,False,2026-03-06,3.4708420068,20839105.721896808,2026-02-28T19:06:11.552591
3873325,(2019 TA1),26.1,0.0160160338,0.0358129403,False,2026-03-06,6.0842647015,52054012.866802459,2026-02-28T19:06:11.552593
54048948,(2020 OA3),24.76,0.0296862251,0.0663804174,False,2026-03-06,20.1661994051,69792152.511983407,2026-02-28T19:06:11.552595
54130036,(2021 ER),27.03,0.0104365024,0.0233367288,False,2026-03-06,3.9630880491,2405896.404756454,2026-02-28T19:06:11.552597
54491554,(2024 TC16),24.66,0.0310852938,0.0695088301,False,2026-03-06,4.8767080668,27321600.99118301,2026-02-28T19:06:11.552599
54492950,(2024 TU20),24.7,0.0305179233,0.0682401509,False,2026-03-06,7.4162602332,26364625.421404468,2026-02-28T19:06:11.552601
2500080,500080 (2011 WV134),17.22,0.9562137328,2.1381589077,True,2026-03-03,11.3319573972,9589236.975687661,2026-02-28T19:06:11.552603
3130460,(2002 MR3),21.92,0.109788026,0.2454934893,True,2026-03-03,19.6446706934,63198148.366699609,2026-02-28T19:06:11.552605
3601674,(2012 FU35),23.9,0.04411182,0.0986370281,False,2026-03-03,9.7530744208,21185266.561279709,2026-02-28T19:06:11.552606
3746620,(2016 ED156),23.56,0.0515887466,0.1153559443,False,2026-03-03,20.4320822777,35841082.986384623,2026-02-28T19:06:11.552608
3837880,(2019 AM12),25.4,0.022108281,0.0494356193,False,2026-03-03,4.2739726763,22876424.525164045,2026-02-28T19:06:11.552609
3841196,(2019 GJ20),21.2,0.1529519353,0.3420109247,False,2026-03-03,16.8186202695,16954220.222839449,2026-02-28T19:06:11.552612
3991610,(2020 DF),26.18,0.0154367182,0.0345175513,False,2026-03-03,8.8826077428,16858821.212346839,2026-02-28T19:06:11.552613
54054666,(2020 SL5),23.2,0.0608912622,0.1361570015,False,2026-03-03,23.7689354548,49635434.781329939,2026-02-28T19:06:11.552615
54130760,(2021 EN2),23.95,0.0431077124,0.0963917753,False,2026-03-03,16.902756335,43046360.933047731,2026-02-28T19:06:11.552617
54260713,(2022 FC),26.15,0.0156514644,0.0349977383,False,2026-03-03,25.9149033155,71286302.931534776,2026-02-28T19:06:11.552619
54597147,(2026 CD1),23.885,0.0444175885,0.0993207473,False,2026-03-03,10.8529786629,2466402.056146665,2026-02-28T19:06:11.552621
54602704,(2026 CB3),25.15,0.0248058993,0.0554676771,False,2026-03-03,8.9419420986,5328839.729630632,2026-02-28T19:06:11.552623
54603181,(2026 CX4),24.588,0.032133274,0.0718521849,False,2026-03-03,12.3486103327,2914857.769437696,2026-02-28T19:06:11.552625
54603654,(2026 DK4),25.864,0.0178547995,0.0399245453,False,2026-03-03,8.5233977944,2999770.522755425,2026-02-28T19:06:11.552627
54604290,(2026 DQ10),25.637,0.0198223425,0.0443241054,False,2026-03-03,13.1330540957,1514022.267572606,2026-02-28T19:06:11.552629
54604298,(2026 DY10),24.908,0.0277303261,0.0620068942,False,2026-03-03,9.3411257935,19098787.459485191,2026-02-28T19:06:11.552630
3512284,(2010 FT),25.7,0.0192555078,0.0430566244,False,2026-03-04,19.3955447767,65819818.456033523,2026-02-28T19:06:11.552632
3691354,(2014 SJ262),25.5,0.0211132445,0.0472106499,False,2026-03-04,4.8778126935,37884072.685868672,2026-02-28T19:06:11.552634
3733147,(2015 VR1),20.89,0.1764229081,0.3944936153,False,2026-03-04,16.4528080611,68335617.893411845,2026-02-28T19:06:11.552636
3736207,(2015 XX128),26.05,0.0163890951,0.0366471308,False,2026-03-04,1.8821541154,35939511.204146863,2026-02-28T19:06:11.552637
3745105,(2016 EB27),22.9,0.0699125232,0.1563291544,False,2026-03-04,25.6691952265,21940030.690179251,2026-02-28T19:06:11.552639
3878561,(2019 TS1),24.26,0.0373727432,0.0835679943,False,2026-03-04,12.8828298369,42357336.705492256,2026-02-28T19:06:11.552640
54103183,(2020 YS4),27.76,0.0074568426,0.016674007,False,2026-03-04,20.1812212481,66096918.396157292,2026-02-28T19:06:11.552642
54347982,(2023 EA2),23.03,0.0658498783,0.1472448042,False,2026-03-04,23.9211549054,53340968.725465341,2026-02-28T19:06:11.552644
54487286,(2024 TX2),23.86,0.04493192,0.1004708274,False,2026-03-04,13.4357409654,52770738.820096036,2026-02-28T19:06:11.552646
54602980,(2026 CT4),23.514,0.0526932489,0.1178256865,False,2026-03-04,14.1573314394,26178480.298090497,2026-02-28T19:06:11.552648
54603182,(2026 DA1),26.503,0.013303165,0.0297467812,False,2026-03-04,1.8629613403,4958674.610504762,2026-02-28T19:06:11.552650
54604127,(2026 DZ7),24.809,0.029023847,0.064899295,False,2026-03-04,10.86509828,5819598.549082819,2026-02-28T19:06:11.552652
54604129,(2026 DL8),24.42,0.0347180222,0.0776318577,False,2026-03-04,9.5083292195,24030875.880608654,2026-02-28T19:06:11.552654
54604134,(2026 DQ8),26.791,0.0116507793,0.0260519346,False,2026-03-04,8.5687193945,1476968.580589324,2026-02-28T19:06:11.552656
3599869,(2012 DM32),26.2,0.0152951935,0.0342010925,False,2026-03-01,12.1965753082,27465792.24456334,2026-02-28T19:06:11.552658
3703013,(2014 YW14),27.6,0.0080270317,0.0179489885,False,2026-03-01,6.2194923898,51692759.93606333,2026-02-28T19:06:11.552659
3989677,(2020 BX15),21.25,0.1494703242,0.3342258056,True,2026-03-01,16.5106110848,11738771.669445901,2026-02-28T19:06:11.552661
54110697,(2021 CW2),27.8,0.0073207399,0.016369672,False,2026-03-01,3.067332998,9553331.901150239,2026-02-28T19:06:11.552663
