nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
54144286,(2021 JG3),22.79,0.0735453089,0.1644523102,False,2026-04-21,8.774621873,15371159.89960246,2026-04-18T00:52:02.778614+00:00
54354505,(2023 HM),27.82,0.0072536229,0.016219594,False,2026-04-21,27.6935909208,39132424.694499758,2026-04-18T00:52:02.778621+00:00
54390603,(2023 SL8),24.4,0.0350392641,0.0783501764,False,2026-04-21,8.7761265015,39548886.958518979,2026-04-18T00:52:02.778630+00:00
54527652,(2025 HQ4),26.04,0.0164647438,0.0368162863,False,2026-04-21,12.5429691927,6272500.056753871,2026-04-18T00:52:02.778646+00:00
54607545,(2026 GJ1),23.665,0.0491535599,0.1099107013,False,2026-04-21,22.2118407376,3337959.890037506,2026-04-18T00:52:02.778653+00:00
54607631,(2026 GZ1),24.3,0.0366906138,0.0820427065,False,2026-04-21,10.2575739889,5953651.360336018,2026-04-18T00:52:02.778660+00:00
2090416,90416 (2003 YK118),18.83,0.4555698523,1.0186851583,True,2026-04-19,9.806587738,26906590.694170435,2026-04-18T00:52:02.778665+00:00
3763337,(2016 VX1),25.0,0.02658,0.0594346868,False,2026-04-19,14.0071664068,54730668.954756342,2026-04-18T00:52:02.778670+00:00
3767035,(2017 BF29),25.59,0.0202560601,0.0452939273,False,2026-04-19,0.5628267579,21563372.215666883,2026-04-18T00:52:02.778675+00:00
3836249,(2018 WA),26.9,0.0110803882,0.0247765013,False,2026-04-19,7.9906953189,69496329.755158297,2026-04-18T00:52:02.778679+00:00
3841630,(2019 HV3),24.0,0.0421264611,0.0941976306,False,2026-04-19,9.3454245311,17659817.440985856,2026-04-18T00:52:02.778689+00:00
54209293,(2021 RW99),22.56,0.0817626533,0.1828268509,False,2026-04-19,16.884330143,46436340.116425662,2026-04-18T00:52:02.778693+00:00
54359258,(2023 KU),22.28,0.0930154254,0.2079888141,False,2026-04-19,24.0742053654,29823905.548783733,2026-04-18T00:52:02.778697+00:00
54431498,(2024 FE1),26.13,0.0157962856,0.0353215683,False,2026-04-19,5.6487653513,28828760.48638894,2026-04-18T00:52:02.778701+00:00
54442322,(2024 JX17),20.41,0.2200670271,0.4920848322,True,2026-04-19,20.3298805273,14925812.695411946,2026-04-18T00:52:02.778705+00:00
54607544,(2026 GH1),25.195,0.02429713,0.0543300342,False,2026-04-19,7.0354153739,8749519.926442295,2026-04-18T00:52:02.778710+00:00
2467336,467336 (2002 LT38),20.61,0.2007035141,0.4487867009,True,2026-04-18,16.7314748512,46387137.721057763,2026-04-18T00:52:02.778714+00:00
3574830,(2011 PU1),25.6,0.0201629919,0.0450858206,False,2026-04-18,14.5900882025,49572900.104109344,2026-04-18T00:52:02.778719+00:00
3608785,(2012 SL8),20.84,0.1805323255,0.4036825521,False,2026-04-18,16.4980686901,27438568.917853711,2026-04-18T00:52:02.778724+00:00
3715997,(2015 HH),26.1,0.0160160338,0.0358129403,False,2026-04-18,9.9449240644,29130337.644961896,2026-04-18T00:52:02.778727+00:00
3720440,(2015 KJ122),22.0,0.1058168859,0.2366137501,True,2026-04-18,20.4241024194,8649242.334931754,2026-04-18T00:52:02.778731+00:00
3826795,(2018 PZ21),26.7,0.0121494041,0.0271668934,False,2026-04-18,9.8093518405,49561969.10742674,2026-04-18T00:52:02.778736+00:00
3841545,(2019 HS2),26.6,0.0127219879,0.0284472297,False,2026-04-18,18.3719431485,43057288.773215278,2026-04-18T00:52:02.778740+00:00
54101717,(2020 YB3),26.76,0.0118182991,0.0264265201,False,2026-04-18,4.3838239565,38263837.11135798,2026-04-18T00:52:02.778743+00:00
54216378,(2021 VE4),24.0,0.0421264611,0.0941976306,False,2026-04-18,12.2172600167,23602446.669616866,2026-04-18T00:52:02.778748+00:00
54376988,(2023 QD),26.73,0.011982708,0.0267941497,False,2026-04-18,10.5754402862,27118452.76844207,2026-04-18T00:52:02.778753+00:00
54490867,(2024 TX13),24.56,0.0325502986,0.0727846803,False,2026-04-18,4.460955323,16870738.567625501,2026-04-18T00:52:02.778757+00:00
54606835,(2026 FU4),25.802,0.0183719382,0.0410809028,False,2026-04-18,2.7707857761,24324566.867786264,2026-04-18T00:52:02.778786+00:00
54606977,(2026 FJ6),22.992,0.0670123698,0.1498442143,False,2026-04-18,9.8447197156,6039397.089553694,2026-04-18T00:52:02.778799+00:00
54607542,(2026 GF1),25.738,0.0189214745,0.0423097032,False,2026-04-18,4.2990364522,8139927.560242424,2026-04-18T00:52:02.778803+00:00
54607547,(2026 GM1),25.489,0.0212204689,0.047450411,False,2026-04-18,5.6282622437,1329719.696344064,2026-04-18T00:52:02.778813+00:00
54607723,(2026 GR2),27.245,0.0094526804,0.0211368361,False,2026-04-18,6.5425717679,2945866.864724906,2026-04-18T00:52:02.778815+00:00
2376879,376879 (2001 WW1),22.35,0.0900647767,0.2013909631,False,2026-04-24,11.4853884157,49916526.770534232,2026-04-18T00:52:02.778820+00:00
3182189,(2004 KB),21.19,0.1536579294,0.3435895754,True,2026-04-24,12.1332064187,27046659.149931861,2026-04-18T00:52:02.778823+00:00
3409988,(2008 JN),20.68,0.1943367684,0.4345502246,False,2026-04-24,41.9776514696,65080939.721035032,2026-04-18T00:52:02.778826+00:00
3797674,(2018 AB12),24.4,0.0350392641,0.0783501764,False,2026-04-24,6.2593696556,57645144.621314484,2026-04-18T00:52:02.778830+00:00
3827322,(2018 RF2),28.2,0.0060891262,0.0136157002,False,2026-04-24,20.8402631661,54121832.865628469,2026-04-18T00:52:02.778834+00:00
54049794,(2020 OY4),30.35,0.0022623249,0.0050587123,False,2026-04-24,9.327302738,55842119.778769855,2026-04-18T00:52:02.778838+00:00
54279841,(2022 KS),26.76,0.0118182991,0.0264265201,False,2026-04-24,4.8331120439,10724233.651731315,2026-04-18T00:52:02.778841+00:00
54402649,(2023 VJ2),25.63,0.0198863453,0.04446722,False,2026-04-24,19.0568970711,70355265.298687462,2026-04-18T00:52:02.778845+00:00
54465474,(2024 PY),29.43,0.0034558507,0.0077275172,False,2026-04-24,15.0426495306,36063870.103343636,2026-04-18T00:52:02.778848+00:00
3717050,(2015 HQ10),23.4,0.0555334912,0.1241766613,False,2026-04-25,32.9237215246,37552338.661154322,2026-04-18T00:52:02.778853+00:00
3797689,(2018 AG12),23.7,0.0483676488,0.1081533507,False,2026-04-25,9.3622374326,41425236.927767942,2026-04-18T00:52:02.778855+00:00
54016725,(2020 HE5),27.7,0.0076657557,0.0171411509,False,2026-04-25,13.1967182957,55451241.607839951,2026-04-18T00:52:02.778858+00:00
54017037,(2020 JE2),27.71,0.0076305348,0.0170623945,False,2026-04-25,28.0703887731,72149720.546927437,2026-04-18T00:52:02.778861+00:00
54076932,(2020 UU5),27.3,0.0092162655,0.0206081961,False,2026-04-25,8.8998272091,36381052.892840956,2026-04-18T00:52:02.778865+00:00
54276985,(2022 HR3),27.34,0.0090480497,0.0202320542,False,2026-04-25,15.1602923265,30050508.907406446,2026-04-18T00:52:02.778869+00:00
54291044,(2022 OX),22.58,0.0810130488,0.1811506842,False,2026-04-25,11.8555556177,73155167.995755094,2026-04-18T00:52:02.778872+00:00
54320182,(2022 UU8),27.97,0.0067694748,0.0151370059,False,2026-04-25,4.0416434196,3343117.486042774,2026-04-18T00:52:02.778877+00:00
54393149,(2023 TV9),24.75,0.0298232505,0.0666868155,False,2026-04-25,8.3552430213,17978105.19027057,2026-04-18T00:52:02.778881+00:00
54607729,(2026 HC),24.918,0.0276029168,0.0617219984,False,2026-04-25,11.6859292814,9941479.716475412,2026-04-18T00:52:02.778884+00:00
