nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
54206542,(2021 TN8),26.71,0.0120935826,0.0270420729,False,2026-04-29,15.7228604168,60999982.382401982,2026-04-24T00:56:54.689745+00:00
54248469,(2022 DP2),24.23,0.0378926498,0.0847305409,False,2026-04-29,14.3612053318,49734855.969914091,2026-04-24T00:56:54.689749+00:00
54276380,(2022 HL1),25.38,0.0223128464,0.0498930414,False,2026-04-29,16.4754420293,40901150.784595877,2026-04-24T00:56:54.689752+00:00
54312818,(2022 SL49),22.86,0.0712122941,0.1592355304,False,2026-04-29,13.1242854814,34863737.123441791,2026-04-24T00:56:54.689754+00:00
54524973,(2025 FS10),24.87,0.0282198679,0.063101543,False,2026-04-29,6.4853189161,15983321.669058729,2026-04-24T00:56:54.689757+00:00
54554759,(2025 UM7),27.11,0.0100590039,0.0224926165,False,2026-04-29,15.1325343604,23268326.618715164,2026-04-24T00:56:54.689760+00:00
54607881,(2026 HQ1),24.536,0.0329120532,0.0735935883,False,2026-04-29,4.4477510413,11408120.38923525,2026-04-24T00:56:54.689763+00:00
2088710,88710 (2001 SL9),17.61,0.7990150812,1.7866520367,False,2026-04-26,14.7891020595,29843746.340287158,2026-04-24T00:56:54.689766+00:00
3549564,(2010 TM167),21.0,0.1677084622,0.3750075218,False,2026-04-26,17.2846842031,60817586.121871063,2026-04-24T00:56:54.689769+00:00
3731242,(2015 TD323),19.93,0.2745079817,0.6138185073,True,2026-04-26,40.4200435421,63581585.150621251,2026-04-24T00:56:54.689774+00:00
3735656,(2015 XL1),22.7,0.0766575574,0.1714115092,False,2026-04-26,17.4837197755,56845320.611665213,2026-04-24T00:56:54.689776+00:00
3786454,(2017 TK6),24.63,0.0315177333,0.0704757942,False,2026-04-26,19.7795554879,69757866.370635338,2026-04-24T00:56:54.689779+00:00
3789618,(2017 WZ12),26.9,0.0110803882,0.0247765013,False,2026-04-26,8.8978963967,43505059.657377023,2026-04-24T00:56:54.689781+00:00
3802391,(2018 GD),24.6,0.0319561887,0.0714562102,False,2026-04-26,19.3314718549,66100064.843277641,2026-04-24T00:56:54.689784+00:00
3803910,(2018 HP),26.27,0.0148099972,0.0331161605,False,2026-04-26,16.8704366812,29383505.007601787,2026-04-24T00:56:54.689786+00:00
3843838,(2019 RE3),22.85,0.0715409951,0.1599705282,False,2026-04-26,17.8545424132,43197162.676946769,2026-04-24T00:56:54.689789+00:00
54065903,(2020 TV5),28.14,0.006259721,0.0139971617,False,2026-04-26,11.2265798143,22348005.4292853,2026-04-24T00:56:54.689792+00:00
54142836,(2021 HE3),25.25,0.0236894499,0.0529712204,False,2026-04-26,13.3129301968,50960294.760947479,2026-04-24T00:56:54.689797+00:00
54356388,(2023 HJ4),26.96,0.0107784169,0.0241012728,False,2026-04-26,12.3867879983,9371818.447569764,2026-04-24T00:56:54.689799+00:00
54438506,(2024 HW1),26.36,0.0142087207,0.0317716653,False,2026-04-26,14.3710980594,19168203.204891963,2026-04-24T00:56:54.689803+00:00
54487073,(2024 TA2),25.88,0.0177237239,0.0396314515,False,2026-04-26,17.2652866793,25605292.00508322,2026-04-24T00:56:54.689807+00:00
54527739,(2025 HP5),23.88,0.0445199816,0.0995497053,False,2026-04-26,10.7821081783,23702513.373010068,2026-04-24T00:56:54.689810+00:00
54607986,(2026 HP2),25.495,0.0211619155,0.0473194817,False,2026-04-26,10.9099190073,5089227.609508885,2026-04-24T00:56:54.689813+00:00
3638380,(2013 JL22),21.16,0.1557955241,0.3483693825,True,2026-04-27,10.2583403183,49690335.224928055,2026-04-24T00:56:54.689816+00:00
3638505,(2013 JX28),20.1,0.2538370294,0.5675968529,False,2026-04-27,25.1333552448,70215328.788247376,2026-04-24T00:56:54.689818+00:00
3837721,(2019 AG7),25.5,0.0211132445,0.0472106499,False,2026-04-27,12.54776667,65356747.599315398,2026-04-24T00:56:54.689820+00:00
54395029,(2023 UH),26.13,0.0157962856,0.0353215683,False,2026-04-27,18.1331326775,56794661.357440319,2026-04-24T00:56:54.689823+00:00
54498799,(2024 UG21),27.17,0.0097848681,0.0218796303,False,2026-04-27,12.5375016335,9186243.845652612,2026-04-24T00:56:54.689826+00:00
54528919,(2025 JK),26.6,0.0127219879,0.0284472297,False,2026-04-27,5.131849562,15320503.921570919,2026-04-24T00:56:54.689829+00:00
54607772,(2026 HO),24.648,0.031257553,0.0698940134,False,2026-04-27,10.2024635312,9082909.116950112,2026-04-24T00:56:54.689835+00:00
54607775,(2026 HR),26.177,0.0154580596,0.034565272,False,2026-04-27,7.561439134,6359885.483345256,2026-04-24T00:56:54.689838+00:00
